resume_id,job_id,skill_score,education_score,experience_score,city_score,salary_score,certificate_score,matched_skills,missing_skills
R005,J002,25.0,100,100,100,100.0,100.0,sql,hadoop;java;spark
R005,J003,50.0,100,50,0,100.0,100.0,python;sql,linux;django
R005,J004,50.0,100,100,0,100.0,100.0,python;机器学习,tensorflow;深度学习
R005,J005,25.0,100,0,0,100.0,0.0,sql,redis;java;spring boot
R005,J006,40.0,100,50,0,100.0,100.0,python;sql,etl;数据仓库;spark
R005,J007,25.0,100,100,0,85.7,100.0,python,pytorch;nlp;tensorflow
R005,J008,0.0,100,50,0,100.0,100.0,,html;vue;javascript;css
R005,J009,40.0,100,50,0,100.0,0.0,python;sql,excel;可视化;数据分析
R005,J010,25.0,100,50,0,100.0,100.0,python,linux;hadoop;shell
R005,J011,50.0,100,100,0,100.0,100.0,python;机器学习,nlp;深度学习
R005,J012,66.7,100,50,100,71.4,100.0,python;sql,excel
R006,J001,50.0,100,100,0,100.0,100.0,python;sql,excel;数据分析
R006,J002,75.0,100,100,0,100.0,100.0,sql;hadoop;spark,java
R006,J003,50.0,100,50,0,100.0,100.0,python;sql,linux;django
R006,J004,25.0,50,100,0,100.0,0.0,python,机器学习;tensorflow;深度学习
R006,J005,25.0,100,0,0,100.0,100.0,sql,redis;java;spring boot
R006,J006,60.0,100,50,100,100.0,100.0,python;sql;spark,etl;数据仓库
R006,J007,25.0,50,100,0,100.0,0.0,python,pytorch;nlp;tensorflow
R006,J008,0.0,100,50,0,100.0,100.0,,html;vue;javascript;css
R006,J009,40.0,100,50,0,100.0,100.0,python;sql,excel;可视化;数据分析
R006,J010,50.0,100,50,0,100.0,100.0,python;hadoop,linux;shell
R006,J011,25.0,50,100,0,100.0,0.0,python,机器学习;nlp;深度学习
R006,J012,66.7,100,50,0,90.9,100.0,python;sql,excel
R007,J001,50.0,100,100,0,40.0,0.0,python;sql,excel;数据分析
R007,J002,25.0,100,100,0,46.7,0.0,sql,hadoop;java;spark
R007,J003,50.0,100,100,100,80.0,100.0,python;sql,linux;django
R007,J004,50.0,100,100,100,53.3,100.0,python;tensorflow,机器学习;深度学习
R007,J005,25.0,100,50,0,100.0,0.0,sql,redis;java;spring boot
R007,J006,40.0,100,100,0,86.7,100.0,python;sql,etl;数据仓库;spark
R007,J007,75.0,100,100,100,40.0,100.0,python;pytorch;tensorflow,nlp
R007,J008,0.0,100,100,0,73.3,100.0,,html;vue;javascript;css
R007,J009,40.0,100,100,0,66.7,0.0,python;sql,excel;可视化;数据分析
R007,J010,25.0,100,100,0,60.0,100.0,python,linux;hadoop;shell
R007,J011,25.0,100,100,0,46.7,100.0,python,机器学习;nlp;深度学习
R007,J012,66.7,100,100,0,33.3,100.0,python;sql,excel
R008,J001,75.0,100,100,0,85.7,100.0,python;sql;excel,数据分析
R008,J002,25.0,100,100,0,100.0,0.0,sql,hadoop;java;spark
R008,J003,50.0,100,100,0,100.0,100.0,python;sql,linux;django
R008,J004,25.0,50,100,0,100.0,0.0,python,机器学习;tensorflow;深度学习
R008,J005,25.0,100,50,0,100.0,100.0,sql,redis;java;spring boot
R008,J006,40.0,100,100,0,100.0,100.0,python;sql,etl;数据仓库;spark
R008,J007,25.0,50,100,0,85.7,0.0,python,pytorch;nlp;tensorflow
R008,J008,0.0,100,100,100,100.0,100.0,,html;vue;javascript;css
R008,J009,80.0,100,100,0,100.0,100.0,python;sql;可视化;excel,数据分析
R008,J010,25.0,100,100,0,100.0,100.0,python,linux;hadoop;shell
R008,J011,25.0,50,100,100,100.0,0.0,python,机器学习;nlp;深度学习
R008,J012,100.0,100,100,0,71.4,100.0,excel;sql;python,
R009,J001,50.0,100,100,0,100.0,100.0,python;sql,excel;数据分析
R009,J002,25.0,100,100,0,100.0,100.0,sql,hadoop;java;spark
R009,J003,50.0,100,50,0,100.0,100.0,python;sql,linux;django
R009,J004,25.0,50,100,0,100.0,0.0,python,机器学习;tensorflow;深度学习
R009,J005,25.0,100,0,0,100.0,100.0,sql,redis;java;spring boot
R009,J006,40.0,100,50,0,100.0,100.0,python;sql,etl;数据仓库;spark
R009,J007,25.0,50,100,0,100.0,0.0,python,pytorch;nlp;tensorflow
R009,J008,0.0,100,50,0,100.0,100.0,,html;vue;javascript;css
R009,J009,40.0,100,50,0,100.0,100.0,python;sql,excel;可视化;数据分析
R009,J010,25.0,100,50,0,100.0,100.0,python,linux;hadoop;shell
R009,J011,25.0,50,100,0,100.0,0.0,python,机器学习;nlp;深度学习
R009,J012,66.7,100,50,0,100.0,100.0,python;sql,excel
R010,J001,25.0,100,100,0,100.0,0.0,python,excel;sql;数据分析
R010,J002,0.0,100,100,0,100.0,0.0,,sql;hadoop;java;spark
R010,J003,50.0,100,50,100,100.0,100.0,python;linux,sql;django
R010,J004,25.0,50,100,100,100.0,0.0,python,机器学习;tensorflow;深度学习
R010,J005,0.0,100,0,0,100.0,0.0,,sql;redis;java;spring boot
R010,J006,20.0,100,50,0,100.0,100.0,python,sql;etl;数据仓库;spark
R010,J007,25.0,50,100,100,100.0,0.0,python,pytorch;nlp;tensorflow
R010,J008,0.0,100,50,0,100.0,100.0,,html;vue;javascript;css
R010,J009,20.0,100,50,0,100.0,0.0,python,excel;sql;可视化;数据分析
R010,J010,50.0,100,50,0,100.0,100.0,python;linux,hadoop;shell
R010,J011,25.0,50,100,0,100.0,0.0,python,机器学习;nlp;深度学习
R010,J012,33.3,100,50,0,83.3,100.0,python,excel;sql
R011,J001,75.0,100,100,0,100.0,100.0,python;sql;excel,数据分析
R011,J002,25.0,100,100,0,100.0,0.0,sql,hadoop;java;spark
R011,J003,50.0,100,100,0,100.0,100.0,python;sql,linux;django
R011,J004,25.0,50,100,0,100.0,0.0,python,机器学习;tensorflow;深度学习
R011,J005,25.0,100,50,0,100.0,100.0,sql,redis;java;spring boot
R011,J006,40.0,100,100,0,100.0,100.0,python;sql,etl;数据仓库;spark
R011,J007,25.0,50,100,0,100.0,0.0,python,pytorch;nlp;tensorflow
R011,J008,0.0,100,100,0,100.0,100.0,,html;vue;javascript;css
R011,J009,60.0,100,100,0,100.0,100.0,python;sql;excel,可视化;数据分析
R011,J010,25.0,100,100,100,100.0,100.0,python,linux;hadoop;shell
R011,J011,25.0,50,100,0,100.0,0.0,python,机器学习;nlp;深度学习
R011,J012,100.0,100,100,0,90.9,100.0,excel;sql;python,
R012,J001,25.0,100,100,0,33.3,0.0,python,excel;sql;数据分析
R012,J002,25.0,100,100,0,38.9,0.0,java,sql;hadoop;spark
R012,J003,25.0,100,100,0,66.7,100.0,python,sql;linux;django
R012,J004,25.0,100,100,0,44.4,100.0,python,机器学习;tensorflow;深度学习
R012,J005,25.0,100,100,100,83.3,0.0,java,sql;redis;spring boot
R012,J006,20.0,100,100,0,72.2,100.0,python,sql;etl;数据仓库;spark
R012,J007,25.0,100,100,0,33.3,100.0,python,pytorch;nlp;tensorflow
R012,J008,0.0,100,100,0,61.1,100.0,,html;vue;javascript;css
R012,J009,20.0,100,100,100,55.6,0.0,python,excel;sql;可视化;数据分析
R012,J010,25.0,100,100,0,50.0,100.0,python,linux;hadoop;shell
R012,J011,25.0,100,100,0,38.9,100.0,python,机器学习;nlp;深度学习
R012,J012,33.3,100,100,0,27.8,100.0,python,excel;sql
R013,J001,25.0,100,100,100,100.0,100.0,python,excel;sql;数据分析
R013,J002,0.0,100,100,100,100.0,0.0,,sql;hadoop;java;spark
R013,J003,50.0,100,50,0,100.0,100.0,python;linux,sql;django
R013,J004,25.0,50,100,0,100.0,0.0,python,机器学习;tensorflow;深度学习
R013,J005,0.0,100,0,0,100.0,100.0,,sql;redis;java;spring boot
R013,J006,20.0,100,50,0,100.0,100.0,python,sql;etl;数据仓库;spark
R013,J007,25.0,50,100,0,100.0,0.0,python,pytorch;nlp;tensorflow
R013,J008,0.0,100,50,0,100.0,100.0,,html;vue;javascript;css
R013,J009,20.0,100,50,0,100.0,100.0,python,excel;sql;可视化;数据分析
R013,J010,75.0,100,50,0,100.0,100.0,python;linux;shell,hadoop
R013,J011,25.0,50,100,0,100.0,0.0,python,机器学习;nlp;深度学习
R013,J012,33.3,100,50,100,100.0,100.0,python,excel;sql
R014,J001,25.0,50,100,0,92.3,0.0,sql,python;数据分析;excel
R014,J002,50.0,50,100,0,100.0,0.0,sql;java,hadoop;spark
R014,J003,25.0,50,100,0,100.0,100.0,sql,python;linux;django
R014,J004,0.0,0,100,0,100.0,0.0,,python;机器学习;tensorflow;深度学习
R014,J005,50.0,50,50,0,100.0,0.0,sql;java,redis;spring boot
R014,J006,20.0,50,100,0,100.0,100.0,sql,python;etl;数据仓库;spark
R014,J007,0.0,0,100,0,92.3,0.0,,python;pytorch;nlp;tensorflow
R014,J008,0.0,50,100,0,100.0,100.0,,html;vue;javascript;css
R014,J009,20.0,50,100,0,100.0,0.0,sql,python;可视化;excel;数据分析
R014,J010,0.0,50,100,0,100.0,100.0,,python;linux;hadoop;shell
R014,J011,0.0,0,100,0,100.0,0.0,,python;机器学习;nlp;深度学习
R014,J012,33.3,50,100,0,76.9,100.0,sql,excel;python
R015,J001,25.0,100,100,0,85.7,0.0,python,excel;sql;数据分析
R015,J002,25.0,100,100,0,100.0,0.0,spark,sql;hadoop;java
R015,J003,25.0,100,50,0,100.0,100.0,python,sql;linux;django
R015,J004,25.0,100,100,0,100.0,100.0,python,机器学习;tensorflow;深度学习
R015,J005,0.0,100,0,0,100.0,0.0,,sql;redis;java;spring boot
R015,J006,40.0,100,50,100,100.0,100.0,python;spark,sql;etl;数据仓库
R015,J007,25.0,100,100,0,85.7,100.0,python,pytorch;nlp;tensorflow
R015,J008,0.0,100,50,0,100.0,100.0,,html;vue;javascript;css
R015,J009,20.0,100,50,0,100.0,0.0,python,excel;sql;可视化;数据分析
R015,J010,25.0,100,50,0,100.0,100.0,python,linux;hadoop;shell
R015,J011,25.0,100,100,0,100.0,100.0,python,机器学习;nlp;深度学习
R015,J012,33.3,100,50,0,71.4,100.0,python,excel;sql
R016,J001,25.0,100,100,0,100.0,100.0,python,excel;sql;数据分析
R016,J002,0.0,100,100,0,100.0,0.0,,sql;hadoop;java;spark
R016,J003,25.0,100,50,0,100.0,100.0,python,sql;linux;django
R016,J004,25.0,50,100,0,100.0,0.0,python,机器学习;tensorflow;深度学习
R016,J005,0.0,100,0,0,100.0,100.0,,sql;redis;java;spring boot
R016,J006,20.0,100,50,0,100.0,100.0,python,sql;etl;数据仓库;spark
R016,J007,25.0,50,100,0,100.0,0.0,python,pytorch;nlp;tensorflow
R016,J008,0.0,100,50,0,100.0,100.0,,html;vue;javascript;css
R016,J009,20.0,100,50,0,100.0,100.0,python,excel;sql;可视化;数据分析
R016,J010,25.0,100,50,0,100.0,100.0,python,linux;hadoop;shell
R016,J011,25.0,50,100,0,100.0,0.0,python,机器学习;nlp;深度学习
R016,J012,33.3,100,50,0,100.0,100.0,python,excel;sql
R017,J001,25.0,100,100,0,46.2,0.0,python,excel;sql;数据分析
R017,J002,0.0,100,100,0,53.8,0.0,,sql;hadoop;java;spark
R017,J003,25.0,100,50,100,92.3,100.0,python,sql;linux;django
R017,J004,25.0,100,100,100,61.5,100.0,python,机器学习;tensorflow;深度学习
R017,J005,0.0,100,0,0,100.0,0.0,,sql;redis;java;spring boot
R017,J006,20.0,100,50,0,100.0,100.0,python,sql;etl;数据仓库;spark
R017,J007,50.0,100,100,100,46.2,100.0,python;nlp,pytorch;tensorflow
R017,J008,0.0,100,50,0,84.6,100.0,,html;vue;javascript;css
R017,J009,20.0,100,50,0,76.9,0.0,python,excel;sql;可视化;数据分析
R017,J010,25.0,100,50,0,69.2,100.0,python,linux;hadoop;shell
R017,J011,50.0,100,100,0,53.8,100.0,python;nlp,机器学习;深度学习
R017,J012,33.3,100,50,0,38.5,100.0,python,excel;sql
R018,J001,0.0,100,100,0,66.7,100.0,,python;sql;excel;数据分析
R018,J002,0.0,100,100,0,77.8,0.0,,sql;hadoop;java;spark
R018,J003,0.0,100,100,0,100.0,100.0,,python;sql;linux;django
R018,J004,0.0,50,100,0,88.9,0.0,,python;机器学习;tensorflow;深度学习
R018,J005,0.0,100,100,0,100.0,100.0,,sql;redis;java;spring boot
R018,J006,0.0,100,100,0,100.0,100.0,,sql;数据仓库;python;etl;spark
R018,J007,0.0,50,100,0,66.7,0.0,,python;tensorflow;nlp;pytorch
R018,J008,0.0,100,100,100,100.0,100.0,,html;vue;javascript;css
R018,J009,0.0,100,100,0,100.0,100.0,,sql;可视化;excel;python;数据分析
R018,J010,0.0,100,100,0,100.0,100.0,,python;linux;hadoop;shell
R018,J011,0.0,50,100,100,77.8,0.0,,python;机器学习;nlp;深度学习
R018,J012,0.0,100,100,0,55.6,100.0,,excel;sql;python
R019,J001,25.0,100,100,0,100.0,100.0,excel,python;sql;数据分析
R019,J002,0.0,100,100,0,100.0,100.0,,sql;hadoop;java;spark
R019,J003,0.0,100,50,0,100.0,100.0,,python;sql;linux;django
R019,J004,0.0,50,100,0,100.0,0.0,,python;机器学习;tensorflow;深度学习
R019,J005,0.0,100,0,0,100.0,100.0,,sql;redis;java;spring boot
R019,J006,0.0,100,50,0,100.0,100.0,,sql;etl;数据仓库;python;spark
R019,J007,0.0,50,100,0,100.0,0.0,,python;pytorch;nlp;tensorflow
R019,J008,0.0,100,50,0,100.0,100.0,,html;vue;javascript;css
R019,J009,20.0,100,50,0,100.0,100.0,excel,python;sql;可视化;数据分析
R019,J010,0.0,100,50,0,100.0,100.0,,python;linux;hadoop;shell
R019,J011,0.0,50,100,0,100.0,0.0,,python;机器学习;nlp;深度学习
R019,J012,33.3,100,50,0,100.0,100.0,excel,python;sql
R020,J001,50.0,100,100,0,60.0,0.0,python;sql,excel;数据分析
R020,J002,25.0,100,100,0,70.0,0.0,sql,hadoop;java;spark
R020,J003,50.0,100,100,0,100.0,100.0,python;sql,linux;django
R020,J004,75.0,100,100,0,80.0,100.0,python;机器学习;深度学习,tensorflow
R020,J005,25.0,100,50,0,100.0,0.0,sql,redis;java;spring boot
R020,J006,40.0,100,100,0,100.0,100.0,python;sql,etl;数据仓库;spark
R020,J007,25.0,100,100,0,60.0,100.0,python,pytorch;nlp;tensorflow
R020,J008,0.0,100,100,0,100.0,100.0,,html;vue;javascript;css
R020,J009,40.0,100,100,0,100.0,0.0,python;sql,excel;可视化;数据分析
R020,J010,25.0,100,100,0,90.0,100.0,python,linux;hadoop;shell
R020,J011,75.0,100,100,0,70.0,100.0,python;机器学习;深度学习,nlp
R020,J012,66.7,100,100,0,50.0,100.0,python;sql,excel
